film,festival,year,section,recognition_type,original_text,source_url,status,reason
Arco,Cannes Film Festival,2025,,screening,Cannes Film Festival,,skipped_insufficient_evidence,"Legacy festival field names a festival but lacks explicit award, selection/programme, or premiere wording."
Bombay Rose,Venice Film Festival,2019,,screening,Venice Film Festival,,skipped_insufficient_evidence,"Legacy festival field names a festival but lacks explicit award, selection/programme, or premiere wording."
Have a Nice Day,Berlin International Film Festival,2017,,screening,Berlin International Film Festival,,skipped_insufficient_evidence,"Legacy festival field names a festival but lacks explicit award, selection/programme, or premiere wording."
Have a Nice Day,Berlin International Film Festival,2017,main competition,official_selection,It premiered in the main competition for the Golden Bear at the 67th Berlin International Film Festival in February 2017.,https://en.wikipedia.org/wiki/Have_a_Nice_Day_(film),candidate_needs_review,"Wikipedia supplied the only located evidence; awaiting official festival archive, film site, distributor page, or press kit."
Have a Nice Day,Pingyao International Film Festival,2017,,screening,"In China, the premiere of the film took place at the Pingyao International Film Festival in early November 2017.",https://en.wikipedia.org/wiki/Have_a_Nice_Day_(film),candidate_needs_review,"Wikipedia supplied the only located evidence; awaiting official festival archive, film site, distributor page, or press kit."
Isle of Dogs,Berlin International Film Festival,2018,,screening,Berlin International Film Festival,,skipped_insufficient_evidence,"Legacy festival field names a festival but lacks explicit award, selection/programme, or premiere wording."
Mars Express,Cannes Film Festival,2023,,screening,Cannes Film Festival,,skipped_insufficient_evidence,"Legacy festival field names a festival but lacks explicit award, selection/programme, or premiere wording."
Mars Express,Cannes Film Festival,2023,Cinéma de la Plage,screening,The film premiered in the Cinéma de la Plage section of the 76th Cannes Film Festival on 23 May 2023.,https://en.wikipedia.org/wiki/Mars_Express_(film),candidate_needs_review,"Wikipedia supplied the only located evidence; awaiting official festival archive, film site, distributor page, or press kit."
Mars Express,Annecy International Animation Film Festival,,,official_selection,It also made it to the competitive slate of the Annecy International Animation Film Festival.,https://en.wikipedia.org/wiki/Mars_Express_(film),candidate_needs_review,"Wikipedia supplied the only located evidence; awaiting official festival archive, film site, distributor page, or press kit."
Moomins on the Riviera,BFI London Film Festival,2014,,screening,"In the United Kingdom, the film made its premiere on 11 October 2014 at BFI London Film Festival.",https://en.wikipedia.org/wiki/Moomins_on_the_Riviera,candidate_needs_review,"Wikipedia supplied the only located evidence; awaiting official festival archive, film site, distributor page, or press kit."
Moomins on the Riviera,New York International Children's Film Festival,2015,,official_selection,"In February 2015, the film was confirmed to be featured on New York International Children's Film Festival.",https://en.wikipedia.org/wiki/Moomins_on_the_Riviera,candidate_needs_review,"Wikipedia supplied the only located evidence; awaiting official festival archive, film site, distributor page, or press kit."
My Neighbors the Yamadas,Japan Media Arts Festival,1999,,award,My Neighbors the Yamadas received an Excellence Award for animation at the 1999 Japan Media Arts Festival.,https://en.wikipedia.org/wiki/My_Neighbors_the_Yamadas,candidate_needs_review,"Wikipedia supplied the only located evidence; awaiting official festival archive, film site, distributor page, or press kit."
No Dogs or Italians Allowed,Annecy International Animated Film Festival,2022,,winner,"premiered at the Annecy International Animated Film Festival, winning the Jury Prize for feature film",https://en.wikipedia.org/wiki/No_Dogs_or_Italians_Allowed,candidate_needs_review,"Wikipedia supplied the only located evidence; awaiting official festival archive, film site, distributor page, or press kit."
No Dogs or Italians Allowed,Annecy International Animated Film Festival,2022,,winner,winning the GAN Foundation Prize,https://en.wikipedia.org/wiki/No_Dogs_or_Italians_Allowed,candidate_needs_review,"Wikipedia supplied the only located evidence; awaiting official festival archive, film site, distributor page, or press kit."
Nuts!,Sundance,2016,,winner,Nuts! won the Special Jury Award for Editing at its Sundance premiere in 2016.,https://en.wikipedia.org/wiki/Nuts!_(film),candidate_needs_review,"Wikipedia supplied the only located evidence; awaiting official festival archive, film site, distributor page, or press kit."
Pom Poko,Annecy International Animation Film Festival,1995,,winner,It won the Grand Prix in the feature film category at the Annecy International Animation Film Festival in 1995.,https://en.wikipedia.org/wiki/Pom_Poko,candidate_needs_review,"Wikipedia supplied the only located evidence; awaiting official festival archive, film site, distributor page, or press kit."
Virus Tropical,Animation Is Film Festival,2017,,screening,Virus Tropical had its world premiere at the Animation Is Film Festival on 21 October 2017.,https://en.wikipedia.org/wiki/Virus_Tropical,candidate_needs_review,"Wikipedia supplied the only located evidence; awaiting official festival archive, film site, distributor page, or press kit."
Wolf Children,New York International Children's Film Festival,2013,,winner,It won an Audience Award at 2013 New York International Children's Film Festival.,https://en.wikipedia.org/wiki/Wolf_Children,candidate_needs_review,"Wikipedia supplied the only located evidence; awaiting official festival archive, film site, distributor page, or press kit."
Wolf Children,Animafest Zagreb,2013,,screening,The film was screened at Animafest Zagreb 2013 in June in Croatia.,https://en.wikipedia.org/wiki/Wolf_Children,candidate_needs_review,"Wikipedia supplied the only located evidence; awaiting official festival archive, film site, distributor page, or press kit."
